temp_mean,precipitation,wind_speed,raceId
14.2,1.2,18.4,659
17.8,0.9,15.8,660
17.3,0.4,28.9,661
17.6,0.0,13.5,662
17.7,1.6,6.8,663
12.8,0.0,16.1,664
9.6,0.0,11.9,665
16.6,0.0,13.1,666
20.6,1.4,15.5,667
12.1,0.0,14.2,668
17.8,0.1,9.0,669
11.0,2.1,19.5,670
15.2,3.1,28.8,671
16.5,4.6,12.5,672
15.4,0.1,15.9,673
14.3,34.4,12.9,674
18.4,0.0,6.3,675
16.8,0.8,17.9,676
6.4,2.2,21.7,677
15.1,0.0,16.8,678
20.3,5.3,15.0,679
14.0,0.0,9.7,680
13.9,0.4,24.1,681
12.9,0.0,14.3,682
20.0,2.3,13.3,683
15.8,0.2,17.3,684
12.7,0.0,10.9,685
19.6,8.5,11.1,686
14.9,0.6,8.0,687
8.4,0.5,15.5,688
12.5,0.0,14.0,689
18.0,0.0,9.0,690
16.8,22.7,11.3,691
20.0,1.7,10.8,692
14.5,3.6,17.8,693
17.0,0.0,27.6,694
12.6,0.6,18.6,695
19.9,0.3,7.7,696
7.4,0.0,14.0,697
14.8,0.0,11.3,698
22.9,0.2,22.1,699
15.0,0.7,10.1,700
14.5,8.0,14.3,701
16.4,7.9,12.1,702
14.2,0.8,20.7,703
16.5,0.0,16.8,704
10.2,0.2,14.8,705
13.8,7.7,8.3,706
8.7,0.1,26.1,707
10.9,0.0,16.6,708
18.3,0.1,12.4,709
17.6,0.0,21.9,710
15.4,4.2,20.0,711
15.7,0.0,15.6,712
15.1,5.5,28.5,713
12.7,2.2,25.5,714
14.5,12.3,10.6,715
18.6,8.8,10.1,716
12.1,0.0,17.4,717
14.5,0.0,9.0,718
18.1,0.5,7.0,719
16.6,7.6,10.8,720
14.0,0.1,27.4,721
16.3,0.2,14.9,722
17.0,0.2,13.8,723
17.4,5.6,23.1,724
15.7,0.0,9.4,725
14.0,0.0,16.3,726
13.5,4.5,12.0,727
24.8,0.0,17.0,728
9.9,1.1,36.9,729
16.0,8.8,10.4,730
15.6,0.1,12.8,731
17.9,0.0,16.7,732
14.4,2.7,33.7,733
14.2,20.5,16.0,734
18.2,1.5,7.9,735
10.7,0.0,17.1,736
21.2,0.0,34.9,737
16.7,0.0,9.3,738
11.6,0.0,19.0,739
16.7,2.5,22.6,740
25.0,0.0,9.0,741
12.9,22.2,33.9,742
16.6,1.5,14.7,743
16.9,0.0,7.1,744
15.0,0.0,8.0,745
26.2,0.0,22.4,746
18.5,5.2,9.9,747
19.3,3.5,24.0,748
17.9,4.3,15.5,749
18.2,0.3,17.2,750
13.5,0.2,16.0,751
14.8,0.1,19.0,752
18.7,0.1,15.8,753
19.5,3.5,7.7,754
11.5,0.0,12.0,755
17.1,0.6,11.2,756
23.2,9.4,9.7,757
12.3,0.0,16.7,758
23.3,0.0,11.8,759
17.3,3.7,21.0,760
17.5,3.7,15.6,761
24.0,0.0,23.1,762
18.4,0.0,7.3,763
19.8,1.0,25.2,764
18.8,0.0,20.2,765
17.4,0.0,9.4,766
11.7,21.4,33.9,767
19.3,0.0,14.1,768
15.4,0.0,13.5,769
17.4,0.9,9.3,770
17.9,0.0,15.9,771
11.6,0.0,10.7,772
18.0,0.2,14.2,773
19.3,0.0,6.9,774
19.9,0.0,15.5,775
22.9,0.0,27.7,776
16.3,1.4,18.4,777
19.8,1.3,9.7,778
21.4,3.4,17.4,779
14.0,11.1,19.8,780
15.0,0.0,10.5,781
22.1,0.0,13.0,782
19.1,0.0,7.6,783
27.0,2.2,17.3,784
15.9,1.3,8.0,785
24.8,6.7,25.8,786
12.0,0.2,17.9,787
17.9,3.4,18.6,788
14.5,0.5,13.8,789
11.2,8.2,11.4,790
18.8,4.8,12.4,791
27.5,0.0,10.7,792
16.6,0.0,12.4,793
14.0,0.6,23.3,794
12.9,0.0,11.3,795
16.0,3.8,23.0,796
16.3,0.0,11.4,797
17.3,7.9,10.5,798
23.5,0.0,18.3,799
23.0,0.7,21.7,800
20.1,2.2,10.2,801
15.2,1.3,24.6,802
14.2,12.1,30.0,803
11.8,0.9,10.2,804
12.0,33.7,12.7,805
20.2,0.5,8.3,806
17.1,0.0,18.0,807
22.5,0.0,20.8,808
25.8,0.0,23.7,809
12.2,0.0,27.1,810
18.6,0.1,10.8,811
18.0,0.0,14.7,812
15.1,6.7,21.7,813
12.8,0.3,10.1,814
12.2,0.8,7.4,815
17.4,0.0,9.7,816
11.8,0.0,10.4,817
15.9,0.0,14.3,818
14.0,3.7,28.3,819
22.4,4.1,13.0,820
17.4,0.4,21.8,821
17.0,0.0,20.2,822
15.9,7.5,25.1,823
17.1,10.2,9.8,824
11.2,18.0,8.2,825
19.1,0.0,7.2,826
